ID,Weight in Thousands,gender,hhsize,age,educat,Month,Region
10647,1.426640179,Male,11,46,4,1,3
10648,1.735065701,Male,2,60,5,1,2
10650,1.605421724,Male,2,63,2,1,5
10652,1.860589355,Male,3,29,4,1,5
10654,1.335382694,Female,1,58,6,1,10
10655,1.470291831,Female,2,64,3,1,7
10656,1.105535374,Female,2,68,2,1,9
10657,1.891415771,Male,2,26,2,1,5
10658,1.499119822,Female,2,56,3,1,9
10659,2.4703063,Female,2,29,6,1,5
10660,1.680983198,Female,2,17,2,1,1
10661,1.570244369,Female,2,60,2,1,6
10662,1.453969007,Female,2,52,3,1,4
10663,2.052961932,Female,1,39,3,1,9
10664,1.495547135,Female,3,64,3,1,1
10665,1.503389225,Female,1,62,4,1,6
10666,1.053993549,Male,5,18,3,1,5
10667,2.360587287,Male,2,26,7,1,1
10668,1.529272231,Male,4,42,7,1,3
10669,1.959572164,Female,2,38,5,1,1
10670,2.585689764,Female,4,29,3,1,7
10671,2.020634174,Female,4,28,6,1,1
10672,2.4703063,Female,2,28,7,1,5
10674,1.704850696,Male,3,62,2,1,3
10675,1.470291831,Female,2,63,2,1,7
10676,1.683428251,Male,4,20,4,1,3
10677,1.991237639,Female,1,48,5,1,1
10679,1.375292241,Female,3,54,3,1,7
10680,1.394766652,Female,2,58,3,1,10
10681,1.031395882,Male,4,17,2,1,9
10682,2.008737479,Male,3,32,5,1,3
10685,2.584669388,Male,3,27,6,1,9
10686,1.571777176,Male,4,43,7,1,6
10687,1.529272231,Male,4,41,3,1,3
10689,1.91076051,Female,4,21,3,1,5
10690,1.451529356,Female,2,52,3,1,5
10691,1.738513101,Female,6,30,5,1,5
10692,1.657782871,Male,2,55,2,1,6
10693,1.503389225,Female,1,63,4,1,6
10694,1.657782871,Male,2,61,2,1,6
10696,1.659308026,Male,1,55,2,1,3
10697,1.301058862,Male,6,37,4,1,5
10698,1.482641269,Male,2,69,2,1,6
10699,1.419515937,Male,1,69,2,1,6
10700,0.969318086,Male,6,72,2,1,5
10701,1.570244369,Female,2,61,6,1,6
10702,1.942609687,Female,1,85,3,1,5
10703,1.129838312,Male,5,55,7,1,5
10705,1.75602249,Male,1,90,4,1,5
10706,1.451529356,Female,2,53,2,1,5
10707,1.308677853,Female,5,30,6,1,6
10708,1.499119822,Female,2,64,4,1,9
10709,1.8117298,Female,3,40,3,1,6
10710,1.197486886,Female,5,41,7,1,9
10711,1.461511003,Female,1,60,4,1,5
10713,2.754813447,Female,1,81,2,1,6
10714,1.942239256,Male,3,42,3,1,9
10715,1.604866133,Female,3,43,4,1,5
10716,2.877318948,Female,2,78,4,1,6
10717,1.105535374,Female,2,65,3,1,9
10718,1.917090505,Female,3,21,3,1,6
